Unique Process ID,Process ID,Unique Thread ID,Thread ID,Thread Name,Thread Begin Time,Thread End Time,Thread Start Address,Life Time,
1,5048,223,8272,"Unknown","1 846,34","1 852,42",140 723 772 198 448,"6,08",
1,5048,224,20436,"Unknown","1 847,13","1 854,77",140 723 772 198 448,"7,64",
1,5048,225,18152,"Unknown","1 848,00","1 854,89",140 723 772 198 448,"6,89",
1,5048,226,1460,"Unknown","1 849,19","1 856,99",140 723 772 198 448,"7,80",
1,5048,227,14544,"Unknown","1 849,67","1 861,36",140 723 772 198 448,"11,69",
1,5048,228,10060,"Unknown","1 851,47","1 860,73",140 723 772 198 448,"9,26",
1,5048,229,19168,"Unknown","1 854,81","1 861,93",140 723 772 198 448,"7,12",
1,5048,230,16128,"Unknown","1 855,60","1 866,91",140 723 772 198 448,"11,30",
1,5048,231,11432,"Unknown","1 857,02","1 864,98",140 723 772 198 448,"7,96",
1,5048,232,8784,"Unknown","1 858,56","1 867,21",140 723 772 198 448,"8,65",
1,5048,233,1004,"Unknown","1 860,14","1 868,14",140 723 772 198 448,"8,00",
1,5048,234,8276,"Unknown","1 861,64","1 868,47",140 723 772 198 448,"6,83",
1,5048,235,7812,"Unknown","1 862,15","1 871,73",140 723 772 198 448,"9,57",
1,5048,236,11500,"Unknown","1 864,72","1 871,63",140 723 772 198 448,"6,91",
1,5048,237,2584,"Unknown","1 865,47","1 874,98",140 723 772 198 448,"9,51",
1,5048,238,11948,"Unknown","1 867,24","1 873,52",140 723 772 198 448,"6,28",
1,5048,239,18240,"Unknown","1 867,66","1 874,27",140 723 772 198 448,"6,61",
1,5048,240,18716,"Unknown","1 868,38","1 875,28",140 723 772 198 448,"6,90",
1,5048,241,15980,"Unknown","1 868,87","1 875,33",140 723 772 198 448,"6,46",
1,5048,242,3720,"Unknown","1 869,65","1 877,14",140 723 772 198 448,"7,49",
1,5048,243,20468,"Unknown","1 925,73","1 931,20",140 723 772 198 448,"5,47",
1,5048,244,16460,"Unknown","1 926,25","1 931,40",140 723 772 198 448,"5,15",
1,5048,245,2832,"Unknown","1 926,95","1 932,88",140 723 772 198 448,"5,93",
1,5048,246,3544,"Unknown","1 927,51","1 932,91",140 723 772 198 448,"5,40",
1,5048,247,13764,"Unknown","1 927,95","1 934,09",140 723 772 198 448,"6,14",
