Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run","std::_Pad::_Call_func",7 109,2,"12,98","0,00",
"Callee","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run","[KernelBase.dll]",76,0,"0,14","0,00",
"Callee","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run","[msvcp140.dll]",10,0,"0,02","0,00",
"Callee","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run","[ucrtbase.dll]",6,2,"0,01","0,00",
"Callee","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run","TransformBMP",7 015,7 015,"12,81","12,81",
"Root","std::_Pad::_Call_func","std::_Pad::_Call_func",7 110,0,"12,99","0,00",
"Caller","std::_Pad::_Call_func","[ucrtbase.dll]",7 110,0,"12,99","0,00",
"Callee","std::_Pad::_Call_func","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Go",1,1,"0,00","0,00",
"Callee","std::_Pad::_Call_func","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run",7 109,2,"12,98","0,00",
"Root","std::basic_filebuf<char,std::char_traits<char> >::close","std::basic_filebuf<char,std::char_traits<char> >::close",3,0,"0,01","0,00",
"Caller","std::basic_filebuf<char,std::char_traits<char> >::close","BMPReader::ReadBMP",3,0,"0,01","0,00",
"Callee","std::basic_filebuf<char,std::char_traits<char> >::close","[ucrtbase.dll]",3,1,"0,01","0,00",
"Root","std::basic_filebuf<char,std::char_traits<char> >::open","std::basic_filebuf<char,std::char_traits<char> >::open",16,0,"0,03","0,00",
"Caller","std::basic_filebuf<char,std::char_traits<char> >::open","BMPReader::ReadBMP",16,0,"0,03","0,00",
"Callee","std::basic_filebuf<char,std::char_traits<char> >::open","[msvcp140.dll]",16,0,"0,03","0,00",
"Root","std::thread::thread<<lambda_1268a5ee5881dafa003fc32150625876>,void>","std::thread::thread<<lambda_1268a5ee5881dafa003fc32150625876>,void>",859,0,"1,57","0,00",
"Caller","std::thread::thread<<lambda_1268a5ee5881dafa003fc32150625876>,void>","BMPTransformer::Transform",859,0,"1,57","0,00",
"Callee","std::thread::thread<<lambda_1268a5ee5881dafa003fc32150625876>,void>","[msvcp140.dll]",859,0,"1,57","0,00",
"Root","std::vector<int,std::allocator<int> >::_Emplace_reallocate<int>","std::vector<int,std::allocator<int> >::_Emplace_reallocate<int>",1,0,"0,00","0,00",
"Caller","std::vector<int,std::allocator<int> >::_Emplace_reallocate<int>","BMPTransformer::Transform",1,0,"0,00","0,00",
"Callee","std::vector<int,std::allocator<int> >::_Emplace_reallocate<int>","operator new",1,0,"0,00","0,00",
"Root","std::vector<int,std::allocator<int> >::vector<int,std::allocator<int> >","std::vector<int,std::allocator<int> >::vector<int,std::allocator<int> >",2,0,"0,00","0,00",
"Caller","std::vector<int,std::allocator<int> >::vector<int,std::allocator<int> >","BMPTransformer::Transform",2,0,"0,00","0,00",
"Callee","std::vector<int,std::allocator<int> >::vector<int,std::allocator<int> >","operator new",2,0,"0,00","0,00",
"Root","TransformBMP","TransformBMP",7 015,7 015,"12,81","12,81",
"Caller","TransformBMP","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run",7 015,7 015,"12,81","12,81",
"Root","TransformBMP","TransformBMP",10 593,10 593,"19,35","19,35",
